,STATENAME,COUNTYNAME,ADDRESS_CITY,ORI9,actual,cleared,data_year,offense,ori,state_abbr
127,NEW HAMPSHIRE,STRAFFORD,CTR. STRAFFORD,NH0092600,26,2,2016,property-crime,NH0092600,NH
128,NEW HAMPSHIRE,STRAFFORD,CTR. STRAFFORD,NH0092600,0,0,2016,rape,NH0092600,NH
129,NEW HAMPSHIRE,STRAFFORD,CTR. STRAFFORD,NH0092600,0,0,2016,rape-legacy,NH0092600,NH
130,NEW HAMPSHIRE,STRAFFORD,CTR. STRAFFORD,NH0092600,0,0,2016,robbery,NH0092600,NH
131,NEW HAMPSHIRE,STRAFFORD,CTR. STRAFFORD,NH0092600,1,1,2016,violent-crime,NH0092600,NH
132,NEW HAMPSHIRE,STRAFFORD,DOVER,NH0090000,3,0,2016,aggravated-assault,NH0090000,NH
133,NEW HAMPSHIRE,STRAFFORD,DOVER,NH0090000,0,0,2016,arson,NH0090000,NH
134,NEW HAMPSHIRE,STRAFFORD,DOVER,NH0090000,0,0,2016,burglary,NH0090000,NH
135,NEW HAMPSHIRE,STRAFFORD,DOVER,NH0090000,0,0,2016,homicide,NH0090000,NH
136,NEW HAMPSHIRE,STRAFFORD,DOVER,NH0090000,0,0,2016,human-trafficing,NH0090000,NH
137,NEW HAMPSHIRE,STRAFFORD,DOVER,NH0090000,2,0,2016,larceny,NH0090000,NH
138,NEW HAMPSHIRE,STRAFFORD,DOVER,NH0090000,0,0,2016,motor-vehicle-theft,NH0090000,NH
139,NEW HAMPSHIRE,STRAFFORD,DOVER,NH0090000,2,0,2016,property-crime,NH0090000,NH
140,NEW HAMPSHIRE,STRAFFORD,DOVER,NH0090000,2,0,2016,rape,NH0090000,NH
141,NEW HAMPSHIRE,STRAFFORD,DOVER,NH0090000,0,0,2016,rape-legacy,NH0090000,NH
142,NEW HAMPSHIRE,STRAFFORD,DOVER,NH0090000,0,0,2016,robbery,NH0090000,NH
143,NEW HAMPSHIRE,STRAFFORD,DOVER,NH0090000,5,0,2016,violent-crime,NH0090000,NH
144,NEW YORK,MADISON,CANASTOTA,NY0262600,4,4,2016,aggravated-assault,NY0262600,NY
145,NEW YORK,MADISON,CANASTOTA,NY0262600,0,0,2016,arson,NY0262600,NY
146,NEW YORK,MADISON,CANASTOTA,NY0262600,8,5,2016,burglary,NY0262600,NY
147,NEW YORK,MADISON,CANASTOTA,NY0262600,0,0,2016,homicide,NY0262600,NY
148,NEW YORK,MADISON,CANASTOTA,NY0262600,0,0,2016,human-trafficing,NY0262600,NY
149,NEW YORK,MADISON,CANASTOTA,NY0262600,61,17,2016,larceny,NY0262600,NY
150,NEW YORK,MADISON,CANASTOTA,NY0262600,5,3,2016,motor-vehicle-theft,NY0262600,NY
151,NEW YORK,MADISON,CANASTOTA,NY0262600,74,25,2016,property-crime,NY0262600,NY
152,NEW YORK,MADISON,CANASTOTA,NY0262600,4,4,2016,rape,NY0262600,NY
153,NEW YORK,MADISON,CANASTOTA,NY0262600,0,0,2016,rape-legacy,NY0262600,NY
154,NEW YORK,MADISON,CANASTOTA,NY0262600,1,0,2016,robbery,NY0262600,NY
155,NEW YORK,MADISON,CANASTOTA,NY0262600,9,8,2016,violent-crime,NY0262600,NY
156,NEW YORK,MADISON,CANASTOTA,NYDI02100,10,0,2016,aggravated-assault,NYDI02100,NY
157,NEW YORK,MADISON,CANASTOTA,NYDI02100,1,0,2016,arson,NYDI02100,NY
158,NEW YORK,MADISON,CANASTOTA,NYDI02100,2,0,2016,burglary,NYDI02100,NY
159,NEW YORK,MADISON,CANASTOTA,NYDI02100,0,0,2016,homicide,NYDI02100,NY
160,NEW YORK,MADISON,CANASTOTA,NYDI02100,0,0,2016,human-trafficing,NYDI02100,NY
