PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
TX,23104,"Fort Worth-Arlington, TX Metropolitan Division",33-3021,Detectives and Criminal Investigators,detailed,670,11.4,0.684,0.92,31.79,"66,120",7.4,16.16,21.77,27.55,37.72,57.30,"33,620","45,280","57,300","78,450","119,180",,
TX,23104,"Fort Worth-Arlington, TX Metropolitan Division",33-3051,Police and Sheriff's Patrol Officers,detailed,"5,580",7.9,5.685,1.21,32.19,"66,950",2.3,21.77,27.07,32.95,37.41,41.37,"45,280","56,300","68,540","77,820","86,050",,
TX,23104,"Fort Worth-Arlington, TX Metropolitan Division",33-3052,Transit and Railroad Police,detailed,90,0.0,0.091,2.67,30.96,"64,400",7.1,25.52,26.73,28.73,31.04,41.44,"53,090","55,590","59,760","64,560","86,200",,
TX,23104,"Fort Worth-Arlington, TX Metropolitan Division",33-9021,Private Detectives and Investigators,detailed,**,**,**,**,28.22,"58,700",4.5,14.70,17.64,27.26,36.93,46.08,"30,580","36,690","56,700","76,820","95,840",,
TX,26420,"Houston-The Woodlands-Sugar Land, TX",33-1012,First-Line Supervisors of Police and Detectives,detailed,440,5.7,0.149,0.21,50.95,"105,980",3.5,29.09,35.00,46.66,69.96,77.07,"60,510","72,790","97,040","145,520","160,300",,
TX,26420,"Houston-The Woodlands-Sugar Land, TX",33-3012,Correctional Officers and Jailers,detailed,"8,100",1.9,2.761,0.90,21.16,"44,020",2.7,16.79,18.78,20.80,22.75,27.62,"34,910","39,060","43,270","47,320","57,460",,
TX,26420,"Houston-The Woodlands-Sugar Land, TX",33-3021,Detectives and Criminal Investigators,detailed,"1,720",0.7,0.588,0.79,42.90,"89,220",10.2,20.39,26.27,36.03,64.94,70.67,"42,420","54,630","74,950","135,070","146,990",,
TX,26420,"Houston-The Woodlands-Sugar Land, TX",33-3031,Fish and Game Wardens,detailed,40,0.0,0.012,0.25,32.82,"68,260",1.8,26.09,26.10,34.08,38.15,38.16,"54,270","54,290","70,890","79,350","79,370",,
TX,26420,"Houston-The Woodlands-Sugar Land, TX",33-3051,Police and Sheriff's Patrol Officers,detailed,"16,110",3.0,5.488,1.17,30.28,"62,980",2.1,20.87,25.17,31.02,35.90,38.85,"43,410","52,360","64,520","74,680","80,810",,
TX,26420,"Houston-The Woodlands-Sugar Land, TX",33-3052,Transit and Railroad Police,detailed,220,9.2,0.073,2.14,*,*,*,*,*,*,*,*,*,*,*,*,*,,
