State,State and area,Civilian labor force Dec 2016,Unemployed Dec 2016,Percent of labor force Dec 2016
Iowa,Iowa City,"97,116","2,382",2.5
Iowa,Sioux City,"91,652","3,581",3.9
Iowa,Waterloo-Cedar Falls,"90,049","3,896",4.3
Kansas,Kansas,"1,474,815","56,522",3.8
Kansas,Lawrence,"66,166","2,102",3.2
Kansas,Manhattan,"49,762","1,538",3.1
Kansas,Topeka,"120,165","4,673",3.9
Kansas,Wichita,"306,631","13,382",4.4
Kentucky,Kentucky,"2,009,243","90,832",4.5
Kentucky,Bowling Green,"80,578","2,837",3.5
Kentucky,Elizabethtown-Fort Knox,"65,598","2,817",4.3
Kentucky,Lexington-Fayette,"266,716","8,600",3.2
Kentucky,Louisville/Jefferson County,"653,009","24,676",3.8
Kentucky,Owensboro,"53,834","2,335",4.3
Louisiana,Louisiana,"2,084,212","112,436",5.4
Louisiana,Alexandria,"64,747","3,776",5.8
Louisiana,Baton Rouge,"411,323","19,204",4.7
Louisiana,Hammond,"53,774","3,216",6
Louisiana,Houma-Thibodaux,"88,866","5,420",6.1
Louisiana,Lafayette,"209,290","13,034",6.2
Louisiana,Lake Charles,"107,198","4,487",4.2
Louisiana,Monroe,"80,407","4,421",5.5
Louisiana,New Orleans-Metairie,"592,395","28,275",4.8
Louisiana,Shreveport-Bossier City,"186,970","10,684",5.7
Maine,Maine,"688,709","24,167",3.5
Maine,Bangor,"70,865","2,373",3.3
Maine,Lewiston-Auburn,"56,057","1,689",3
Maine,Portland-South Portland,"202,240","5,303",2.6
Maryland,Maryland,"3,172,633","122,921",3.9
Maryland,Baltimore-Columbia-Towson,"1,485,434","58,863",4
Maryland,California-Lexington Park,"54,264","1,849",3.4
Maryland,Cumberland,"44,073","2,448",5.6
Maryland,Hagerstown-Martinsburg,"133,035","5,180",3.9
Massachusetts,Massachusetts,"3,575,041","98,949",2.8
Massachusetts,Barnstable Town,"116,330","4,363",3.8
Massachusetts,Boston-Cambridge-Nashua,"2,649,807","66,868",2.5
Massachusetts,Leominster-Gardner,"75,591","2,441",3.2
Massachusetts,New Bedford,"83,261","3,401",4.1
Massachusetts,Pittsfield,"42,357","1,503",3.5
Massachusetts,Springfield,"363,584","12,456",3.4
Massachusetts,Worcester,"343,909","10,438",3
Michigan,Michigan,"4,830,685","215,298",4.5
Michigan,Ann Arbor,"193,594","5,269",2.7
Michigan,Battle Creek,"64,496","2,697",4.2
Michigan,Bay City,"51,969","2,565",4.9
Michigan,Detroit-Warren-Dearborn,"2,068,225","99,229",4.8
Michigan,Flint,"182,667","9,085",5
Michigan,Grand Rapids-Wyoming,"568,628","17,091",3
Michigan,Jackson,"73,654","3,092",4.2
Michigan,Kalamazoo-Portage,"168,978","6,618",3.9
Michigan,Lansing-East Lansing,"247,361","8,238",3.3
Michigan,Midland,"40,856","1,718",4.2
Michigan,Monroe,"76,163","2,659",3.5
Michigan,Muskegon,"75,929","3,592",4.7
Michigan,Niles-Benton Harbor,"72,942","3,385",4.6
Michigan,Saginaw,"88,758","4,107",4.6
Minnesota,Minnesota,"2,994,599","121,941",4.1
Minnesota,Duluth,"141,000","7,784",5.5
Minnesota,Mankato-North Mankato,"59,848","1,856",3.1
Minnesota,Minneapolis-St. Paul-Bloomington,"1,931,869","69,700",3.6
Minnesota,Rochester,"118,462","3,942",3.3
Minnesota,St. Cloud,"110,029","4,656",4.2
Mississippi,Mississippi,"1,289,299","73,153",5.7
Mississippi,Gulfport-Biloxi-Pascagoula,"165,121","9,725",5.9
Mississippi,Hattiesburg,"68,644","3,463",5
Mississippi,Jackson,"274,229","13,148",4.8
Missouri,Missouri,"3,081,307","121,063",3.9
Missouri,Cape Girardeau,"48,835","2,088",4.3
Missouri,Columbia,"99,870","2,675",2.7
Missouri,Jefferson City,"75,258","2,392",3.2
Missouri,Joplin,"85,824","3,298",3.8
Missouri,Kansas City,"1,125,999","42,487",3.8
Missouri,St. Joseph,"65,821","2,473",3.8
Missouri,St. Louis(2),"1,467,325","58,946",4
Missouri,Springfield,"233,913","8,117",3.5
