,State,City,Job Title,Number of Employees,Jobs (per 1000),Mean Hourly Wage,Mean Annual Wage,Median Hourly Wage,Annual Median Wage
943, OH-KY-IN,Cincinnati,First-Line Supervisors of Police and Detectives,560,0.538,37.96,"78,960",38.38,"79,820"
944, OH-KY-IN,Cincinnati,Correctional Officers and Jailers,"1,680",1.615,19.51,"40,570",20.03,"41,650"
945, OH-KY-IN,Cincinnati,Detectives and Criminal Investigators,300,0.283,37.40,"77,780",33.41,"69,480"
946, OH-KY-IN,Cincinnati,Police and Sheriff's Patrol Officers,"3,930",3.770,29.07,"60,470",30.72,"63,910"
947, OH-KY-IN,Cincinnati,Private Detectives and Investigators,200,0.190,23.37,"48,610",20.67,"42,990"
948, OH,Cleveland-Elyria,First-Line Supervisors of Police and Detectives,610,0.589,39.22,"81,570",38.18,"79,420"
949, OH,Cleveland-Elyria,Correctional Officers and Jailers,"1,900",1.845,21.03,"43,740",21.44,"44,590"
950, OH,Cleveland-Elyria,Detectives and Criminal Investigators,510,0.494,36.78,"76,490",32.93,"68,490"
951, OH,Cleveland-Elyria,Police and Sheriff's Patrol Officers,"4,970",4.836,28.89,"60,100",29.16,"60,660"
952, OH,Cleveland-Elyria,Private Detectives and Investigators,230,0.228,19.41,"40,360",16.09,"33,460"
953, OH,Columbus,First-Line Supervisors of Police and Detectives,470,0.459,44.31,"92,160",45.49,"94,620"
954, OH,Columbus,Correctional Officers and Jailers,"2,550",2.491,21.24,"44,190",21.63,"45,000"
955, OH,Columbus,Detectives and Criminal Investigators,560,0.545,33.20,"69,060",29.44,"61,240"
956, OH,Columbus,Police and Sheriff's Patrol Officers,"4,690",4.581,32.63,"67,880",33.84,"70,380"
957, OH,Columbus,Private Detectives and Investigators,250,0.247,22.34,"46,470",19.87,"41,320"
958, OH,Dayton,First-Line Supervisors of Police and Detectives,180,0.497,40.21,"83,630",40.25,"83,710"
959, OH,Dayton,Correctional Officers and Jailers,450,1.204,20.32,"42,260",19.27,"40,090"
960, OH,Dayton,Detectives and Criminal Investigators,110,0.293,40.85,"84,960",37.04,"77,040"
