,State,City,Job Title,Number of Employees,Jobs (per 1000),Mean Hourly Wage,Mean Annual Wage,Median Hourly Wage,Annual Median Wage
0, AK,Anchorage,First-Line Supervisors of Police and Detectives,150,0.871,52.64,"109,490",54.35,"113,050"
1, AK,Anchorage,Police and Sheriff's Patrol Officers,570,3.228,38.75,"80,600",40.83,"84,930"
2, AK,Fairbanks,Police and Sheriff's Patrol Officers,100,2.783,35.90,"74,660",35.32,"73,460"
3, AL,Anniston-Oxford-Jacksonville,First-Line Supervisors of Police and Detectives,50,1.106,30.42,"63,270",29.23,"60,810"
4, AL,Anniston-Oxford-Jacksonville,Correctional Officers and Jailers,100,2.535,13.55,"28,190",12.79,"26,610"
5, AL,Anniston-Oxford-Jacksonville,Police and Sheriff's Patrol Officers,270,6.545,19.43,"40,410",18.39,"38,250"
6, AL,Auburn-Opelika,Police and Sheriff's Patrol Officers,170,3.192,19.52,"40,600",18.41,"38,300"
7, AL,Birmingham-Hoover,First-Line Supervisors of Police and Detectives,280,0.553,35.72,"74,310",34.50,"71,770"
8, AL,Birmingham-Hoover,Correctional Officers and Jailers,"1,070",2.127,18.05,"37,530",17.49,"36,380"
9, AL,Birmingham-Hoover,Detectives and Criminal Investigators,220,0.444,35.37,"73,570",30.40,"63,230"
10, AL,Birmingham-Hoover,Police and Sheriff's Patrol Officers,"2,950",5.842,23.51,"48,900",23.85,"49,610"
11, AL,Birmingham-Hoover,Private Detectives and Investigators,70,0.139,23.99,"49,900",17.23,"35,850"
12, AL,Daphne-Fairhope-Foley,First-Line Supervisors of Police and Detectives,50,0.667,33.92,"70,550",33.37,"69,410"
13, AL,Daphne-Fairhope-Foley,Correctional Officers and Jailers,140,1.962,17.20,"35,770",16.98,"35,320"
14, AL,Daphne-Fairhope-Foley,Detectives and Criminal Investigators,90,1.304,23.24,"48,340",22.39,"46,580"
15, AL,Daphne-Fairhope-Foley,Police and Sheriff's Patrol Officers,350,4.992,22.44,"46,660",21.86,"45,470"
16, AL,Decatur,First-Line Supervisors of Police and Detectives,60,1.084,29.82,"62,030",28.28,"58,820"
17, AL,Decatur,Correctional Officers and Jailers,200,3.736,15.40,"32,030",14.88,"30,950"
18, AL,Decatur,Detectives and Criminal Investigators,70,1.250,22.26,"46,290",21.87,"45,480"
19, AL,Decatur,Police and Sheriff's Patrol Officers,290,5.499,*,*,*,*
20, AL,Dothan,Correctional Officers and Jailers,160,2.865,14.75,"30,680",14.09,"29,300"
21, AL,Dothan,Police and Sheriff's Patrol Officers,400,7.099,18.54,"38,570",17.41,"36,210"
22, AL,Florence-Muscle Shoals,Police and Sheriff's Patrol Officers,260,4.927,18.73,"38,960",18.91,"39,330"
23, AL,Gadsden,First-Line Supervisors of Police and Detectives,40,1.076,25.95,"53,970",27.22,"56,610"
24, AL,Gadsden,Police and Sheriff's Patrol Officers,260,7.281,16.62,"34,560",16.30,"33,910"
25, AL,Huntsville,First-Line Supervisors of Police and Detectives,60,0.274,40.90,"85,080",36.51,"75,950"
26, AL,Huntsville,Correctional Officers and Jailers,470,2.174,16.97,"35,300",16.80,"34,940"
27, AL,Huntsville,Detectives and Criminal Investigators,170,0.757,43.50,"90,490",38.01,"79,070"
28, AL,Huntsville,Police and Sheriff's Patrol Officers,790,3.611,23.16,"48,170",22.70,"47,220"
29, AL,Huntsville,Private Detectives and Investigators,30,0.144,34.37,"71,480",32.77,"68,170"
30, AL,Mobile,First-Line Supervisors of Police and Detectives,140,0.827,28.92,"60,160",25.13,"52,270"
31, AL,Mobile,Detectives and Criminal Investigators,180,1.031,30.74,"63,940",20.61,"42,860"
32, AL,Mobile,Police and Sheriff's Patrol Officers,850,4.884,17.25,"35,880",16.72,"34,770"
33, AL,Montgomery,First-Line Supervisors of Police and Detectives,80,0.482,36.88,"76,710",34.52,"71,800"
34, AL,Montgomery,Correctional Officers and Jailers,"1,120",6.792,17.08,"35,520",16.88,"35,110"
35, AL,Montgomery,Detectives and Criminal Investigators,210,1.287,30.22,"62,860",26.42,"54,950"
36, AL,Montgomery,Police and Sheriff's Patrol Officers,"1,020",6.208,21.59,"44,910",21.60,"44,920"
37, AL,Tuscaloosa,First-Line Supervisors of Police and Detectives,60,0.578,32.38,"67,350",32.03,"66,610"
38, AL,Tuscaloosa,Correctional Officers and Jailers,230,2.288,19.46,"40,470",19.50,"40,560"
39, AL,Tuscaloosa,Police and Sheriff's Patrol Officers,640,6.429,24.96,"51,920",24.86,"51,700"
40, AR-MO,Fayetteville-Springdale-Rogers,First-Line Supervisors of Police and Detectives,240,1.009,28.72,"59,740",27.44,"57,080"
41, AR-MO,Fayetteville-Springdale-Rogers,Correctional Officers and Jailers,320,1.379,17.79,"37,000",17.53,"36,460"
42, AR-MO,Fayetteville-Springdale-Rogers,Detectives and Criminal Investigators,80,0.340,29.04,"60,410",22.64,"47,090"
43, AR-MO,Fayetteville-Springdale-Rogers,Police and Sheriff's Patrol Officers,860,3.694,19.10,"39,730",18.47,"38,420"
44, AR-OK,Fort Smith,First-Line Supervisors of Police and Detectives,100,0.952,27.95,"58,130",26.39,"54,890"
45, AR-OK,Fort Smith,Correctional Officers and Jailers,270,2.418,13.17,"27,400",13.30,"27,660"
46, AR-OK,Fort Smith,Detectives and Criminal Investigators,40,0.322,30.23,"62,870",19.27,"40,090"
47, AR-OK,Fort Smith,Police and Sheriff's Patrol Officers,620,5.642,16.66,"34,660",16.21,"33,720"
48, AR,Hot Springs,First-Line Supervisors of Police and Detectives,40,1.187,26.76,"55,660",27.27,"56,710"
49, AR,Hot Springs,Police and Sheriff's Patrol Officers,150,4.273,19.45,"40,450",19.70,"40,980"
50, AR,Jonesboro,First-Line Supervisors of Police and Detectives,60,1.185,24.77,"51,530",23.93,"49,780"
51, AR,Jonesboro,Police and Sheriff's Patrol Officers,300,5.605,17.46,"36,320",17.56,"36,520"
52, AR,Little Rock-North Little Rock-Conway,First-Line Supervisors of Police and Detectives,440,1.303,29.59,"61,540",29.70,"61,780"
53, AR,Little Rock-North Little Rock-Conway,Correctional Officers and Jailers,760,2.226,16.07,"33,430",16.37,"34,050"
54, AR,Little Rock-North Little Rock-Conway,Detectives and Criminal Investigators,220,0.656,31.11,"64,710",21.75,"45,230"
55, AR,Little Rock-North Little Rock-Conway,Police and Sheriff's Patrol Officers,"1,630",4.786,21.33,"44,360",21.30,"44,290"
56, AR,Pine Bluff,First-Line Supervisors of Police and Detectives,30,1.003,25.22,"52,470",23.40,"48,680"
57, AR,Pine Bluff,Correctional Officers and Jailers,"1,410",45.868,16.91,"35,160",16.78,"34,900"
58, AR,Pine Bluff,Police and Sheriff's Patrol Officers,220,7.292,21.03,"43,740",21.35,"44,410"
59, AZ,Flagstaff,First-Line Supervisors of Police and Detectives,90,1.371,37.48,"77,950",35.52,"73,880"
60, AZ,Flagstaff,Correctional Officers and Jailers,90,1.398,18.16,"37,770",17.63,"36,670"
61, AZ,Flagstaff,Detectives and Criminal Investigators,70,1.058,33.77,"70,240",32.41,"67,420"
62, AZ,Flagstaff,Police and Sheriff's Patrol Officers,250,3.954,26.94,"56,030",25.32,"52,660"
63, AZ,Lake Havasu City-Kingman,First-Line Supervisors of Police and Detectives,60,1.185,40.32,"83,860",38.06,"79,160"
64, AZ,Lake Havasu City-Kingman,Correctional Officers and Jailers,**,**,16.99,"35,330",17.21,"35,800"
65, AZ,Lake Havasu City-Kingman,Police and Sheriff's Patrol Officers,230,4.961,27.57,"57,350",27.67,"57,550"
66, AZ,Phoenix-Mesa-Scottsdale,First-Line Supervisors of Police and Detectives,"1,760",0.909,44.11,"91,750",44.30,"92,140"
67, AZ,Phoenix-Mesa-Scottsdale,Correctional Officers and Jailers,"9,920",5.125,21.11,"43,920",21.23,"44,160"
68, AZ,Phoenix-Mesa-Scottsdale,Detectives and Criminal Investigators,"1,700",0.878,36.07,"75,030",36.14,"75,170"
69, AZ,Phoenix-Mesa-Scottsdale,Police and Sheriff's Patrol Officers,"7,530",3.889,31.76,"66,070",33.18,"69,020"
70, AZ,Phoenix-Mesa-Scottsdale,Private Detectives and Investigators,150,0.079,25.88,"53,840",22.37,"46,530"
71, AZ,Prescott,First-Line Supervisors of Police and Detectives,**,**,41.68,"86,690",41.54,"86,400"
72, AZ,Prescott,Police and Sheriff's Patrol Officers,**,**,28.66,"59,610",28.15,"58,550"
73, AZ,Sierra Vista-Douglas,First-Line Supervisors of Police and Detectives,60,1.916,43.14,"89,740",41.91,"87,180"
74, AZ,Sierra Vista-Douglas,Detectives and Criminal Investigators,960,29.330,36.66,"76,240",37.61,"78,220"
75, AZ,Sierra Vista-Douglas,Police and Sheriff's Patrol Officers,190,5.894,25.40,"52,820",24.11,"50,140"
76, AZ,Tucson,First-Line Supervisors of Police and Detectives,270,0.749,46.65,"97,030",45.64,"94,940"
77, AZ,Tucson,Correctional Officers and Jailers,"2,080",5.790,19.81,"41,210",18.94,"39,380"
78, AZ,Tucson,Detectives and Criminal Investigators,"1,800",5.013,37.95,"78,940",37.61,"78,230"
79, AZ,Tucson,Police and Sheriff's Patrol Officers,"1,720",4.809,28.43,"59,130",27.45,"57,090"
80, AZ,Yuma,First-Line Supervisors of Police and Detectives,120,2.024,37.10,"77,170",33.62,"69,940"
81, AZ,Yuma,Correctional Officers and Jailers,**,**,17.56,"36,530",17.67,"36,750"
82, AZ,Yuma,Detectives and Criminal Investigators,650,10.705,37.94,"78,910",38.69,"80,480"
83, AZ,Yuma,Police and Sheriff's Patrol Officers,370,6.047,23.36,"48,600",22.97,"47,780"
84, CA Metropolitan Division,Anaheim-Santa Ana-Irvine,First-Line Supervisors of Police and Detectives,170,0.106,73.29,"152,440",69.47,"144,510"
85, CA Metropolitan Division,Anaheim-Santa Ana-Irvine,Correctional Officers and Jailers,870,0.558,31.39,"65,290",31.31,"65,120"
86, CA Metropolitan Division,Anaheim-Santa Ana-Irvine,Detectives and Criminal Investigators,700,0.448,49.57,"103,110",50.43,"104,890"
87, CA Metropolitan Division,Anaheim-Santa Ana-Irvine,Police and Sheriff's Patrol Officers,"3,910",2.504,48.29,"100,440",47.61,"99,020"
88, CA,Bakersfield,First-Line Supervisors of Police and Detectives,80,0.271,55.83,"116,120",59.85,"124,480"
89, CA,Bakersfield,Correctional Officers and Jailers,"4,200",14.293,35.36,"73,540",39.84,"82,870"
90, CA,Bakersfield,Detectives and Criminal Investigators,200,0.694,39.64,"82,450",41.21,"85,720"
91, CA,Bakersfield,Police and Sheriff's Patrol Officers,"1,490",5.078,36.58,"76,090",34.23,"71,200"
92, CA,Bakersfield,Private Detectives and Investigators,40,0.128,*,*,*,*
93, CA,Chico,First-Line Supervisors of Police and Detectives,40,0.563,*,*,*,*
94, CA,Chico,Police and Sheriff's Patrol Officers,360,4.879,41.96,"87,270",38.53,"80,140"
95, CA,El Centro,First-Line Supervisors of Police and Detectives,30,0.631,62.51,"130,020",67.53,"140,470"
96, CA,El Centro,Detectives and Criminal Investigators,700,12.950,38.81,"80,730",37.56,"78,130"
97, CA,El Centro,Police and Sheriff's Patrol Officers,220,4.088,38.34,"79,750",36.12,"75,140"
98, CA,Fresno,First-Line Supervisors of Police and Detectives,90,0.257,54.99,"114,380",58.44,"121,550"
99, CA,Fresno,Correctional Officers and Jailers,"1,700",4.848,32.17,"66,920",32.18,"66,930"
100, CA,Fresno,Detectives and Criminal Investigators,250,0.713,41.49,"86,290",39.84,"82,860"
101, CA,Fresno,Police and Sheriff's Patrol Officers,"1,100",3.135,35.51,"73,850",33.98,"70,680"
102, CA,Fresno,Private Detectives and Investigators,90,0.266,32.52,"67,640",33.91,"70,520"
103, CA,Hanford-Corcoran,Detectives and Criminal Investigators,30,0.841,37.46,"77,910",35.61,"74,070"
104, CA,Hanford-Corcoran,Police and Sheriff's Patrol Officers,200,4.967,33.52,"69,720",31.61,"65,750"
105, CA Metropolitan Division,Los Angeles-Long Beach-Glendale,First-Line Supervisors of Police and Detectives,620,0.148,71.83,"149,400",67.81,"141,050"
106, CA Metropolitan Division,Los Angeles-Long Beach-Glendale,Correctional Officers and Jailers,"3,710",0.880,30.31,"63,050",29.06,"60,440"
107, CA Metropolitan Division,Los Angeles-Long Beach-Glendale,Detectives and Criminal Investigators,"3,420",0.810,55.29,"115,000",57.05,"118,670"
108, CA Metropolitan Division,Los Angeles-Long Beach-Glendale,Police and Sheriff's Patrol Officers,"25,460",6.033,48.05,"99,940",48.39,"100,660"
109, CA Metropolitan Division,Los Angeles-Long Beach-Glendale,Private Detectives and Investigators,540,0.127,38.88,"80,870",38.03,"79,100"
110, CA,Madera,Correctional Officers and Jailers,870,20.545,36.47,"75,860",39.85,"82,880"
111, CA,Madera,Police and Sheriff's Patrol Officers,220,5.175,36.54,"76,010",31.64,"65,800"
112, CA,Merced,First-Line Supervisors of Police and Detectives,30,0.514,55.92,"116,310",58.81,"122,330"
113, CA,Merced,Correctional Officers and Jailers,320,4.947,26.82,"55,790",27.06,"56,290"
114, CA,Merced,Police and Sheriff's Patrol Officers,290,4.433,37.60,"78,200",35.67,"74,200"
115, CA,Modesto,Detectives and Criminal Investigators,80,0.449,38.49,"80,060",37.29,"77,560"
116, CA,Modesto,Police and Sheriff's Patrol Officers,650,3.772,39.71,"82,590",37.95,"78,940"
117, CA,Napa,Police and Sheriff's Patrol Officers,160,2.272,54.56,"113,480",54.25,"112,840"
118, CA Metropolitan Division,Oakland-Hayward-Berkeley,First-Line Supervisors of Police and Detectives,210,0.193,73.80,"153,510",71.02,"147,720"
119, CA Metropolitan Division,Oakland-Hayward-Berkeley,Correctional Officers and Jailers,320,0.293,31.72,"65,990",32.82,"68,270"
120, CA Metropolitan Division,Oakland-Hayward-Berkeley,Detectives and Criminal Investigators,340,0.318,52.99,"110,210",54.54,"113,450"
121, CA Metropolitan Division,Oakland-Hayward-Berkeley,Fish and Game Wardens,40,0.033,41.07,"85,430",42.10,"87,560"
122, CA Metropolitan Division,Oakland-Hayward-Berkeley,Police and Sheriff's Patrol Officers,"4,690",4.321,48.97,"101,860",49.12,"102,160"
123, CA Metropolitan Division,Oakland-Hayward-Berkeley,Private Detectives and Investigators,260,0.240,27.60,"57,400",23.71,"49,310"
124, CA,Oxnard-Thousand Oaks-Ventura,First-Line Supervisors of Police and Detectives,60,0.188,61.79,"128,520",67.26,"139,900"
125, CA,Oxnard-Thousand Oaks-Ventura,Detectives and Criminal Investigators,80,0.275,55.58,"115,610",56.65,"117,830"
126, CA,Oxnard-Thousand Oaks-Ventura,Police and Sheriff's Patrol Officers,"1,320",4.409,50.55,"105,130",52.62,"109,450"
127, CA,Redding,Detectives and Criminal Investigators,40,0.729,48.74,"101,380",47.28,"98,340"
128, CA,Redding,Police and Sheriff's Patrol Officers,300,4.922,45.79,"95,230",48.30,"100,460"
129, CA,Riverside-San Bernardino-Ontario,First-Line Supervisors of Police and Detectives,260,0.193,68.05,"141,540",66.14,"137,570"
130, CA,Riverside-San Bernardino-Ontario,Correctional Officers and Jailers,"4,500",3.303,34.36,"71,460",38.59,"80,270"
131, CA,Riverside-San Bernardino-Ontario,Detectives and Criminal Investigators,"1,020",0.748,45.49,"94,620",43.20,"89,850"
132, CA,Riverside-San Bernardino-Ontario,Police and Sheriff's Patrol Officers,"5,760",4.224,43.36,"90,190",44.38,"92,320"
133, CA,Riverside-San Bernardino-Ontario,Private Detectives and Investigators,90,0.065,27.50,"57,200",24.06,"50,040"
134, CA,Sacramento--Roseville--Arden-Arcade,First-Line Supervisors of Police and Detectives,410,0.445,61.93,"128,820",64.47,"134,100"
135, CA,Sacramento--Roseville--Arden-Arcade,Correctional Officers and Jailers,"2,250",2.464,30.43,"63,300",31.30,"65,110"
136, CA,Sacramento--Roseville--Arden-Arcade,Detectives and Criminal Investigators,"1,030",1.126,41.72,"86,770",39.24,"81,630"
137, CA,Sacramento--Roseville--Arden-Arcade,Police and Sheriff's Patrol Officers,"4,010",4.391,43.49,"90,460",45.65,"94,950"
138, CA,Salinas,First-Line Supervisors of Police and Detectives,60,0.380,53.02,"110,280",45.09,"93,780"
139, CA,Salinas,Police and Sheriff's Patrol Officers,560,3.395,40.62,"84,490",41.18,"85,660"
140, CA,San Diego-Carlsbad,First-Line Supervisors of Police and Detectives,570,0.414,62.04,"129,040",61.20,"127,290"
141, CA,San Diego-Carlsbad,Correctional Officers and Jailers,"2,580",1.859,33.15,"68,960",33.83,"70,370"
142, CA,San Diego-Carlsbad,Detectives and Criminal Investigators,"3,130",2.254,45.67,"94,990",42.20,"87,790"
143, CA,San Diego-Carlsbad,Police and Sheriff's Patrol Officers,"4,720",3.406,39.56,"82,280",39.41,"81,980"
144, CA,San Diego-Carlsbad,Private Detectives and Investigators,**,**,29.09,"60,500",32.01,"66,590"
145, CA Metropolitan Division,San Francisco-Redwood City-South San Francisco,First-Line Supervisors of Police and Detectives,180,0.170,66.04,"137,360",68.08,"141,600"
146, CA Metropolitan Division,San Francisco-Redwood City-South San Francisco,Detectives and Criminal Investigators,370,0.343,57.68,"119,980",60.80,"126,460"
147, CA Metropolitan Division,San Francisco-Redwood City-South San Francisco,Police and Sheriff's Patrol Officers,"4,460",4.179,52.91,"110,050",52.67,"109,550"
148, CA Metropolitan Division,San Francisco-Redwood City-South San Francisco,Private Detectives and Investigators,140,0.127,35.66,"74,180",33.51,"69,700"
149, CA,San Jose-Sunnyvale-Santa Clara,First-Line Supervisors of Police and Detectives,130,0.124,78.15,"162,560",75.71,"157,480"
150, CA,San Jose-Sunnyvale-Santa Clara,Detectives and Criminal Investigators,180,0.177,50.74,"105,540",50.66,"105,380"
151, CA,San Jose-Sunnyvale-Santa Clara,Police and Sheriff's Patrol Officers,"3,950",3.776,56.65,"117,840",57.17,"118,920"
152, CA,San Jose-Sunnyvale-Santa Clara,Private Detectives and Investigators,**,**,36.69,"76,320",34.36,"71,460"
153, CA,San Luis Obispo-Paso Robles-Arroyo Grande,First-Line Supervisors of Police and Detectives,40,0.368,65.67,"136,600",64.48,"134,120"
154, CA,San Luis Obispo-Paso Robles-Arroyo Grande,Detectives and Criminal Investigators,30,0.309,44.79,"93,160",39.89,"82,960"
155, CA,San Luis Obispo-Paso Robles-Arroyo Grande,Police and Sheriff's Patrol Officers,440,3.868,42.16,"87,690",42.24,"87,870"
156, CA Metropolitan Division,San Rafael,First-Line Supervisors of Police and Detectives,40,0.348,69.23,"144,010",69.16,"143,850"
157, CA Metropolitan Division,San Rafael,Police and Sheriff's Patrol Officers,350,3.179,46.80,"97,350",47.37,"98,520"
158, CA,Santa Cruz-Watsonville,Police and Sheriff's Patrol Officers,440,4.721,49.72,"103,410",50.61,"105,270"
159, CA,Santa Maria-Santa Barbara,First-Line Supervisors of Police and Detectives,40,0.224,72.26,"150,290",67.82,"141,070"
160, CA,Santa Maria-Santa Barbara,Detectives and Criminal Investigators,30,0.182,49.62,"103,210",48.80,"101,500"
161, CA,Santa Maria-Santa Barbara,Police and Sheriff's Patrol Officers,670,3.694,46.41,"96,530",46.56,"96,850"
162, CA,Santa Rosa,First-Line Supervisors of Police and Detectives,40,0.211,62.03,"129,010",61.33,"127,560"
163, CA,Santa Rosa,Detectives and Criminal Investigators,40,0.194,42.59,"88,580",38.94,"81,000"
164, CA,Santa Rosa,Police and Sheriff's Patrol Officers,590,3.064,51.03,"106,130",53.08,"110,410"
165, CA,Stockton-Lodi,First-Line Supervisors of Police and Detectives,50,0.223,53.06,"110,370",62.57,"130,150"
166, CA,Stockton-Lodi,Correctional Officers and Jailers,"1,660",7.284,30.77,"64,010",32.86,"68,340"
167, CA,Stockton-Lodi,Detectives and Criminal Investigators,120,0.530,45.92,"95,500",39.46,"82,080"
168, CA,Stockton-Lodi,Police and Sheriff's Patrol Officers,"1,010",4.454,36.72,"76,390",33.70,"70,100"
169, CA,Vallejo-Fairfield,First-Line Supervisors of Police and Detectives,70,0.521,60.60,"126,050",65.58,"136,410"
170, CA,Vallejo-Fairfield,Detectives and Criminal Investigators,60,0.446,43.03,"89,490",38.87,"80,850"
171, CA,Vallejo-Fairfield,Police and Sheriff's Patrol Officers,600,4.693,47.92,"99,680",51.13,"106,350"
172, CA,Vallejo-Fairfield,Private Detectives and Investigators,**,**,28.92,"60,150",28.56,"59,410"
173, CA,Visalia-Porterville,First-Line Supervisors of Police and Detectives,30,0.206,66.38,"138,070",62.90,"130,830"
174, CA,Visalia-Porterville,Police and Sheriff's Patrol Officers,940,6.414,35.98,"74,840",33.65,"69,990"
175, CA,Yuba City,Police and Sheriff's Patrol Officers,250,6.242,*,*,*,*
176, CO,Boulder,Detectives and Criminal Investigators,40,0.254,35.53,"73,910",35.54,"73,930"
177, CO,Boulder,Police and Sheriff's Patrol Officers,630,3.561,35.08,"72,960",35.25,"73,320"
178, CO,Colorado Springs,First-Line Supervisors of Police and Detectives,110,0.404,43.46,"90,410",45.22,"94,050"
179, CO,Colorado Springs,Detectives and Criminal Investigators,160,0.587,36.23,"75,360",33.41,"69,490"
180, CO,Colorado Springs,Police and Sheriff's Patrol Officers,"1,240",4.626,32.09,"66,740",33.37,"69,410"
181, CO,Denver-Aurora-Lakewood,First-Line Supervisors of Police and Detectives,840,0.596,48.27,"100,400",47.02,"97,800"
182, CO,Denver-Aurora-Lakewood,Correctional Officers and Jailers,"1,660",1.171,25.02,"52,050",23.50,"48,870"
183, CO,Denver-Aurora-Lakewood,Detectives and Criminal Investigators,"1,120",0.790,44.14,"91,810",43.34,"90,150"
184, CO,Denver-Aurora-Lakewood,Police and Sheriff's Patrol Officers,"4,200",2.966,35.97,"74,820",36.37,"75,650"
185, CO,Denver-Aurora-Lakewood,Private Detectives and Investigators,**,**,24.91,"51,810",21.01,"43,700"
186, CO,Fort Collins,First-Line Supervisors of Police and Detectives,60,0.392,51.26,"106,610",49.88,"103,740"
187, CO,Fort Collins,Detectives and Criminal Investigators,60,0.381,33.92,"70,560",32.01,"66,580"
188, CO,Fort Collins,Police and Sheriff's Patrol Officers,560,3.770,34.12,"70,980",34.49,"71,740"
189, CO,Grand Junction,First-Line Supervisors of Police and Detectives,50,0.853,45.08,"93,760",45.15,"93,900"
190, CO,Grand Junction,Detectives and Criminal Investigators,60,0.959,37.06,"77,080",34.87,"72,520"
191, CO,Grand Junction,Police and Sheriff's Patrol Officers,300,5.138,29.67,"61,720",30.46,"63,350"
192, CO,Greeley,First-Line Supervisors of Police and Detectives,70,0.709,47.16,"98,080",46.32,"96,340"
193, CO,Greeley,Detectives and Criminal Investigators,50,0.515,35.91,"74,680",33.89,"70,500"
194, CO,Greeley,Police and Sheriff's Patrol Officers,450,4.680,31.68,"65,890",32.01,"66,580"
195, CO,Pueblo,First-Line Supervisors of Police and Detectives,40,0.657,44.09,"91,710",42.79,"89,000"
196, CO,Pueblo,Correctional Officers and Jailers,590,10.288,22.41,"46,610",22.16,"46,090"
197, CO,Pueblo,Police and Sheriff's Patrol Officers,300,5.290,31.18,"64,860",32.01,"66,570"
198, CT,Bridgeport-Stamford-Norwalk,First-Line Supervisors of Police and Detectives,470,1.119,45.81,"95,290",45.80,"95,260"
199, CT,Bridgeport-Stamford-Norwalk,Detectives and Criminal Investigators,180,0.438,42.54,"88,480",42.32,"88,020"
200, CT,Bridgeport-Stamford-Norwalk,Police and Sheriff's Patrol Officers,"1,770",4.222,34.19,"71,110",34.60,"71,960"
201, CT,Bridgeport-Stamford-Norwalk,Private Detectives and Investigators,50,0.116,26.10,"54,280",28.56,"59,410"
202, CT,Danbury,First-Line Supervisors of Police and Detectives,80,1.014,43.45,"90,380",43.91,"91,340"
203, CT,Danbury,Detectives and Criminal Investigators,30,0.391,36.43,"75,780",35.96,"74,800"
204, CT,Danbury,Police and Sheriff's Patrol Officers,260,3.280,32.53,"67,670",33.42,"69,510"
205, CT,Hartford-West Hartford-East Hartford,First-Line Supervisors of Police and Detectives,630,1.090,45.43,"94,500",45.51,"94,660"
206, CT,Hartford-West Hartford-East Hartford,Detectives and Criminal Investigators,380,0.650,41.73,"86,790",38.31,"79,690"
207, CT,Hartford-West Hartford-East Hartford,Police and Sheriff's Patrol Officers,"2,040",3.521,33.46,"69,600",33.70,"70,090"
208, CT,Hartford-West Hartford-East Hartford,Private Detectives and Investigators,110,0.196,32.75,"68,110",32.72,"68,050"
209, CT,New Haven,First-Line Supervisors of Police and Detectives,390,1.400,44.00,"91,520",43.14,"89,740"
210, CT,New Haven,Detectives and Criminal Investigators,220,0.798,47.78,"99,380",39.48,"82,130"
211, CT,New Haven,Police and Sheriff's Patrol Officers,"1,600",5.681,32.47,"67,540",33.22,"69,100"
212, CT,New Haven,Private Detectives and Investigators,60,0.212,25.91,"53,880",25.04,"52,080"
213, CT-RI,Norwich-New London-Westerly,First-Line Supervisors of Police and Detectives,100,0.820,43.03,"89,510",43.37,"90,210"
214, CT-RI,Norwich-New London-Westerly,Detectives and Criminal Investigators,50,0.375,41.96,"87,280",38.92,"80,950"
215, CT-RI,Norwich-New London-Westerly,Police and Sheriff's Patrol Officers,490,3.824,31.06,"64,610",30.82,"64,110"
216, CT,Waterbury,First-Line Supervisors of Police and Detectives,90,1.374,38.36,"79,790",37.17,"77,320"
217, CT,Waterbury,Detectives and Criminal Investigators,60,0.827,35.57,"73,980",35.83,"74,530"
218, CT,Waterbury,Police and Sheriff's Patrol Officers,370,5.414,28.17,"58,600",27.90,"58,030"
219, DC-VA-MD-WV Metropolitan Division,Washington-Arlington-Alexandria,First-Line Supervisors of Police and Detectives,"2,800",1.126,55.82,"116,110",52.21,"108,610"
220, DC-VA-MD-WV Metropolitan Division,Washington-Arlington-Alexandria,Correctional Officers and Jailers,"2,840",1.139,24.20,"50,340",23.18,"48,220"
221, DC-VA-MD-WV Metropolitan Division,Washington-Arlington-Alexandria,Detectives and Criminal Investigators,"4,600",1.845,57.30,"119,190",60.92,"126,710"
222, DC-VA-MD-WV Metropolitan Division,Washington-Arlington-Alexandria,Fish and Game Wardens,30,0.012,29.22,"60,780",27.58,"57,360"
223, DC-VA-MD-WV Metropolitan Division,Washington-Arlington-Alexandria,Police and Sheriff's Patrol Officers,"14,000",5.620,33.38,"69,440",33.00,"68,650"
224, DC-VA-MD-WV Metropolitan Division,Washington-Arlington-Alexandria,Transit and Railroad Police,180,0.071,35.16,"73,130",34.97,"72,730"
225, DC-VA-MD-WV Metropolitan Division,Washington-Arlington-Alexandria,Private Detectives and Investigators,**,**,35.29,"73,400",35.35,"73,540"
226, DE,Dover,First-Line Supervisors of Police and Detectives,80,1.330,49.32,"102,590",50.35,"104,730"
227, DE,Dover,Police and Sheriff's Patrol Officers,390,6.144,32.65,"67,910",31.56,"65,650"
228, DE-MD-NJ Metropolitan Division,Wilmington,First-Line Supervisors of Police and Detectives,220,0.641,45.23,"94,080",45.69,"95,040"
229, DE-MD-NJ Metropolitan Division,Wilmington,Correctional Officers and Jailers,790,2.270,19.70,"40,970",17.07,"35,510"
230, DE-MD-NJ Metropolitan Division,Wilmington,Detectives and Criminal Investigators,100,0.295,43.73,"90,950",43.79,"91,080"
231, DE-MD-NJ Metropolitan Division,Wilmington,Police and Sheriff's Patrol Officers,"1,400",4.042,32.16,"66,890",32.50,"67,600"
232, DE-MD-NJ Metropolitan Division,Wilmington,Private Detectives and Investigators,**,**,24.82,"51,630",21.26,"44,220"
233, FL,Cape Coral-Fort Myers,First-Line Supervisors of Police and Detectives,80,0.306,41.37,"86,050",39.95,"83,090"
234, FL,Cape Coral-Fort Myers,Detectives and Criminal Investigators,270,1.065,28.62,"59,530",24.19,"50,320"
235, FL,Cape Coral-Fort Myers,Police and Sheriff's Patrol Officers,"1,160",4.656,23.31,"48,490",22.39,"46,580"
236, FL,Cape Coral-Fort Myers,Private Detectives and Investigators,50,0.181,18.93,"39,380",17.81,"37,050"
