,County,State,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployed Citizens,Men in Law-Enforcement,Women in Law-Enforcement,Law-Enforcement per 1000,Unemployment Rate (%)
121,Sumter,Alabama,13285.0,36.5,20428.0,13929.0,4582.0,34.49002634550244,782.0,31.0,37.0,5.118554761008657,5.886337975159955
122,Talladega,Alabama,81057.0,40.8,37923.0,20430.0,16119.0,19.886006143824716,4224.0,192.0,46.0,2.936205386333074,5.2111477108701285
123,Tallapoosa,Alabama,40958.0,43.0,39395.0,21410.0,9431.0,23.02602666145808,1641.0,75.0,7.0,2.002050881390693,4.006543288246497
124,Tuscaloosa,Alabama,202471.0,32.1,48022.0,23896.0,34470.0,17.024660321725086,6782.0,786.0,184.0,4.790809548034039,3.3496155004914283
125,Walker,Alabama,65593.0,42.3,37025.0,20410.0,14174.0,21.60901315689174,2938.0,282.0,8.0,4.42120348207888,4.479136493223362
126,Washington,Alabama,16909.0,41.4,40293.0,19598.0,3585.0,21.20172689100479,1086.0,38.0,33.0,4.1989473061683125,6.422615175350405
127,Wilcox,Alabama,11119.0,40.2,24442.0,14800.0,3768.0,33.88793956291033,763.0,47.0,0.0,4.2269988308301105,6.862127889198669
128,Winston,Alabama,24013.0,44.1,33896.0,19299.0,4833.0,20.126598092699787,855.0,188.0,14.0,8.412110107025361,3.5605713571815265
129,Aleutians East Borough,Alaska,3299.0,42.8,65926.0,31025.0,510.0,15.459230069718096,66.0,23.0,6.0,8.79054258866323,2.00060624431646
130,Aleutians West Census Area,Alaska,5714.0,37.6,86964.0,35083.0,426.0,7.455372768638432,45.0,32.0,1.0,5.775288764438222,0.7875393769688485
131,Anchorage Municipality,Alaska,299321.0,32.8,80862.0,37864.0,23652.0,7.901884598808637,9857.0,1032.0,364.0,4.663889269379696,3.2931200951486863
132,Bethel Census Area,Alaska,17885.0,26.8,53296.0,18231.0,4619.0,25.826111266424377,1440.0,113.0,34.0,8.21917808219178,8.051439753983786
133,Bristol Bay Borough,Alaska,942.0,40.7,88000.0,41420.0,67.0,7.112526539278131,32.0,2.0,0.0,2.1231422505307855,3.397027600849257
134,Denali Borough,Alaska,2125.0,37.3,81302.0,38337.0,233.0,10.964705882352941,16.0,6.0,0.0,2.823529411764706,0.7529411764705882
135,Dillingham Census Area,Alaska,4980.0,29.7,56055.0,23520.0,815.0,16.365461847389557,245.0,24.0,4.0,5.622489959839358,4.919678714859438
136,Fairbanks North Star Borough,Alaska,100150.0,30.7,73831.0,34182.0,7444.0,7.432850723914129,4344.0,186.0,69.0,2.54618072890664,4.337493759360958
137,Haines Borough,Alaska,2528.0,44.6,53125.0,32673.0,132.0,5.2215189873417724,54.0,2.0,0.0,0.7911392405063291,2.1360759493670884
138,Hoonah-Angoon Census Area,Alaska,2107.0,48.4,54091.0,31451.0,260.0,12.339819648789748,119.0,4.0,0.0,1.8984337921214998,5.647840531561462
139,Juneau City and Borough,Alaska,32524.0,37.5,87436.0,40592.0,2365.0,7.271553314475464,929.0,115.0,46.0,4.950190628458984,2.8563522321977617
140,Kenai Peninsula Borough,Alaska,57637.0,40.5,64891.0,32556.0,6175.0,10.713604108471989,2451.0,181.0,12.0,3.348543470340233,4.252476707670421
141,Ketchikan Gateway Borough,Alaska,13715.0,39.2,64162.0,32694.0,1453.0,10.594239883339409,559.0,67.0,29.0,6.999635435654393,4.075829383886256
142,Kodiak Island Borough,Alaska,13918.0,32.7,73068.0,32066.0,1247.0,8.959620635148728,272.0,184.0,23.0,14.87282655553959,1.9543037792786317
143,Kusilvak Census Area,Alaska,7993.0,23.3,38160.0,11701.0,2862.0,35.80633053922182,773.0,40.0,19.0,7.381458776429376,9.67096209183035
144,Lake and Peninsula Borough,Alaska,1411.0,31.9,43864.0,22684.0,263.0,18.6392629340893,82.0,3.0,0.0,2.1261516654854713,5.811481218993621
145,Matanuska-Susitna Borough,Alaska,98679.0,34.8,73908.0,30078.0,9350.0,9.475166955481916,4596.0,465.0,103.0,5.756037252100245,4.657525917368437
146,Nome Census Area,Alaska,9879.0,27.7,51563.0,20033.0,2593.0,26.24759591051726,758.0,67.0,26.0,9.413908290312785,7.672841380706549
147,North Slope Borough,Alaska,9681.0,33.8,72027.0,49982.0,1070.0,11.05257721309782,597.0,19.0,0.0,1.9626071686809214,6.166718314223737
148,Northwest Arctic Borough,Alaska,7723.0,26.3,61341.0,21028.0,1874.0,24.26518192412275,749.0,58.0,5.0,8.157451767447883,9.698303767965816
149,Petersburg Borough,Alaska,3196.0,40.8,63940.0,34788.0,294.0,9.198998748435544,101.0,7.0,3.0,3.1289111389236544,3.160200250312891
150,Prince of Wales-Hyder Census Area,Alaska,6374.0,40.5,51887.0,25564.0,938.0,14.716033887668655,439.0,45.0,14.0,9.256353937872607,6.887354879196737
